Correlation Table - 50 periods
https://www.mataf.net
Sun, 02 Apr 2017 16:34:29 +0000
pair1,pair2,5min,1h,4h,1d
CADJPY,NZDUSD,-0.9,-75.7,-54,66
CADJPY,SGDHKD,20.8,-71.6,-42.1,-85.4
CADJPY,SGDJPY,33.8,84.5,85.2,19.4
CADJPY,TRYJPY,22.5,87,31.7,-11.1
CADJPY,USDCAD,-72.1,-16.1,-61.9,-72.5
CADJPY,USDCNH,-55.6,49.7,72.1,-42
CADJPY,USDCZK,-46.4,88.4,86.9,34.7
CADJPY,USDDKK,-48.2,82.4,85.2,36
CADJPY,USDHUF,-32.6,63.1,73.7,33.8
CADJPY,USDJPY,27.1,88.6,91.1,65.6
CADJPY,USDMXN,24.3,-14.7,-18.6,85.9
CADJPY,USDNOK,-46,80.5,59.6,-67.1
CADJPY,USDPLN,-46.2,48.8,63.9,68
CADJPY,USDSEK,-36.1,79.1,73.2,2.9
CADJPY,USDSGD,-16.1,70.5,49.4,83.5
CADJPY,USDTRY,-6,10.9,43.5,46
CADJPY,USDZAR,-9,61,42.2,55.8
CADJPY,AUDCHF,20.2,66.8,87.4,10.8
CADJPY,AUDHKD,69.2,-59.3,54.2,-15.1
CADJPY,AUDUSD,68.4,-58.5,51.3,-9.5
CADJPY,CHFHKD,49.5,-78.9,-87.2,-28.6
CADJPY,EURAUD,12.3,-80.9,-89.2,-22.2
CADJPY,EURCHF,30.6,-71.4,-23.5,-42
CADJPY,EURCZK,-37,67.5,54.7,-19.2
CADJPY,EURDKK,-61.9,-70,-43.4,-33.4
CADJPY,EURHKD,46.6,-83.6,-87.1,-41.1
CADJPY,EURJPY,54,4.1,-37,42
CADJPY,EURPLN,2.8,-55.7,-26.9,74.5
CADJPY,EURUSD,45.3,-83.1,-86.5,-36.6
CADJPY,GBPPLN,-63.2,53.5,30.2,82.8
CADJPY,SGDCHF,-48.8,76.2,75.2,-47.4
CADJPY,USDCHF,-48,78.6,86.7,22.7
CADJPY,USDINR,18.3,-28.5,-17.8,85.1
CADJPY,ZARJPY,13.9,-51.6,-29.5,-26.6
CADJPY,USDHKD,74.5,-6,46.9,-83.9
CADJPY,USDSAR,-25.9,-7.4,12.9,67.6
CADJPY,USDTHB,-51.5,-21,19.4,73.5
CADSGD,AUDCAD,-52.3,-90.3,-18.3,-87.6
CADSGD,AUDJPY,10.1,-7.5,59.4,36.3
CADSGD,AUDNZD,12.4,-13.1,39.1,-84.1
CADSGD,AUDSGD,78.9,-35.1,64.5,69
CADSGD,CADCHF,55.9,90.2,73.5,86.1
CADSGD,CADHKD,66.3,79.3,71.7,91.6
CADSGD,CADJPY,52.5,58.9,79.7,89.4
CADSGD,CADSGD,100,100,100,100
CADSGD,CHFJPY,-7.1,-27.6,-31.4,45.9
CADSGD,CHFZAR,-14.7,27.5,-17.5,56.9
CADSGD,EURCAD,-51.7,-83.5,-71.7,-85.2
CADSGD,EURGBP,17.4,-72.4,-48.2,-71.2
CADSGD,EURHUF,-18.7,-60.8,-40.7,-22.6
CADSGD,EURNOK,-9.8,27.1,-82.9,-82.7
CADSGD,EURNZD,-19.7,-72.5,-74.1,-88
CADSGD,EURSEK,44.3,22.8,-31.6,-73.2
CADSGD,EURSGD,16.5,-57.7,-42.7,43.5
CADSGD,EURTRY,-11.2,-71.9,-64.5,23.7
CADSGD,EURZAR,-20,24,-18.6,49.3
CADSGD,GBPAUD,-55,72.3,-30.6,49.7
CADSGD,GBPCAD,-79.4,39,-52.8,-57.4
CADSGD,GBPCHF,-40,72.8,52.1,66.7
CADSGD,GBPHKD,-64,74.2,-20.1,53.6
CADSGD,GBPJPY,-73.1,57.8,39.4,83.6
CADSGD,GBPNZD,-73.8,63.5,-9,-77.5
CADSGD,GBPSGD,-12,75.2,10.3,86.5
CADSGD,GBPUSD,-65.4,74.4,-20.9,56.7
CADSGD,GBPZAR,-32.8,39.2,-6.1,69.8
CADSGD,HKDJPY,-28.5,18.9,60,32.4
CADSGD,NZDCAD,-57,-70,-56.1,59.4
CADSGD,NZDCHF,-4.6,37.5,74.3,88.9
CADSGD,NZDHKD,14.3,-22.8,-16.7,86.4
CADSGD,NZDJPY,-4.2,1.8,61.9,91.9
CADSGD,NZDSGD,60.4,-7.5,24.7,94.7
CADSGD,NZDUSD,7.9,-23.9,-17.3,86.8
CADSGD,SGDHKD,-46.7,-43.3,-61.7,-76.9
CADSGD,SGDJPY,-62.2,6.7,36.3,-26.6
CADSGD,TRYJPY,-20.9,53,45.6,-20.5
CADSGD,USDCAD,-66.1,-78.8,-73.9,-92.2
CADSGD,USDCNH,-28.7,-19.2,45.3,-65.2
CADSGD,USDCZK,9,46,58.6,14.5
CADSGD,USDDKK,10,56.6,60,15.8
CADSGD,USDHUF,2.3,39.7,51.3,4.6
CADSGD,USDJPY,-24.6,19.8,59.8,28.7
CADSGD,USDMXN,-40.5,14.9,5.2,87.3
CADSGD,USDNOK,10.7,59.9,21.3,-85.3
CADSGD,USDPLN,8.5,60.5,83.3,44.8
CADSGD,USDSEK,27.5,64.2,41.6,-19.8
CADSGD,USDSGD,51.1,45.7,66.2,74.3
CADSGD,USDTRY,5.6,-44.7,5.7,33.7
CADSGD,USDZAR,-19.5,31.1,-3.1,55.9
CADSGD,AUDCHF,35,32.9,62.8,-1.1
CADSGD,AUDHKD,28.8,-46.5,37.5,-0.1
CADSGD,AUDUSD,27.2,-47.8,36.8,5.9
CADSGD,CHFHKD,9.9,-52.3,-63.8,1.4
CADSGD,EURAUD,-47.2,-49.9,-64.1,-16.4
CADSGD,EURCHF,-38.4,-51.2,-15.4,-56.1
CADSGD,EURCZK,-40,15.7,21.4,-16.2
CADSGD,EURDKK,-3.8,-56.1,-61.3,-11.3
CADSGD,EURHKD,-9,-56.9,-63.2,-21
CADSGD,EURJPY,-20.6,-58.9,-32.5,18.4
CADSGD,EURPLN,-10,3.9,17.7,58.5
CADSGD,EURUSD,-10.9,-57.5,-62.1,-16.1
CADSGD,GBPPLN,-19.8,73.5,61.3,86.3
CADSGD,SGDCHF,-54.8,53.6,42.9,-68.2
CADSGD,USDCHF,-7.8,53.5,62.5,-7.6
CADSGD,USDINR,51.3,-36.4,20.8,81.9
CADSGD,ZARJPY,12.5,-30.7,13.8,-45.3
CADSGD,USDHKD,52,26.1,16.6,-88.7
CADSGD,USDTHB,-1.8,-50.1,44.1,48.8
CADSGD,USDSAR,24.7,20.3,-4.4,76.4
CHFJPY,AUDCAD,71.3,32.2,25.5,-52.4
CHFJPY,AUDJPY,91.2,91.6,-16.2,41.7
CHFJPY,AUDNZD,90.5,75.5,-42.6,-43.4
CHFJPY,AUDSGD,41.9,24.1,-5.2,12.7
CHFJPY,CADCHF,-70.9,-13.7,-72,19.5
CHFJPY,CADHKD,40.9,-46.2,-59.2,22.9
CHFJPY,CADJPY,63.1,54.1,-33.2,66.3
CHFJPY,CADSGD,-7.1,-27.6,-31.4,45.9
CHFJPY,CHFJPY,100,100,100,100
CHFJPY,CHFZAR,38.5,17.4,-43.4,41.5
CHFJPY,EURCAD,79.4,0.4,70.9,-13.9
CHFJPY,EURGBP,88,3.1,55.7,10.2
CHFJPY,EURHUF,83.1,-19.5,-6.9,46.7
CHFJPY,EURNOK,77.1,-1.8,33.7,-20.6
CHFJPY,EURNZD,92.2,31.8,64.7,-19.5
CHFJPY,EURSEK,10.3,-36.7,-55,-48.3
CHFJPY,EURSGD,85.9,-17.9,76,63.4
CHFJPY,EURTRY,82.1,11.3,33.1,69.3
CHFJPY,EURZAR,47,15.8,-43,44
CHFJPY,GBPAUD,-67.9,-21.4,19.4,27.6
CHFJPY,GBPCAD,-37.6,-6.3,42,-38.2
CHFJPY,GBPCHF,-79.5,-11.3,-59.6,-8.6
CHFJPY,GBPHKD,-22.7,-29.5,15,-4.5
CHFJPY,GBPJPY,0.2,31.7,6.8,65.5
CHFJPY,GBPNZD,-13.4,9.2,-11.4,-39.2
CHFJPY,GBPSGD,-71.3,-17.7,26.6,32.6
CHFJPY,GBPUSD,-27,-28.9,19.1,-1.9
CHFJPY,GBPZAR,3.2,11.8,-50.3,33
CHFJPY,HKDJPY,21.8,73.3,-8.4,71.1
CHFJPY,NZDCAD,-55.4,-22.3,65.3,21.7
CHFJPY,NZDCHF,-90.7,-61,-64.3,24.4
CHFJPY,NZDHKD,-6.1,-50.9,37.7,25.1
CHFJPY,NZDJPY,19.9,67.7,23.3,58.7
CHFJPY,NZDSGD,-66.9,-57.4,47.2,41.4
CHFJPY,NZDUSD,-15,-49.7,42,25.9
CHFJPY,SGDHKD,57.4,-24,-22,-65.6
CHFJPY,SGDJPY,66.8,84.7,-23.8,42.5
CHFJPY,TRYJPY,52.2,37.5,41.3,-42.4
CHFJPY,USDCAD,-38.6,45.2,54.2,-24
CHFJPY,USDCNH,-60.5,75.6,-30,-15.4
CHFJPY,USDCZK,-87.2,44,-62.6,-11.4
CHFJPY,USDDKK,-88.1,19.4,-69.5,-10.2
CHFJPY,USDHUF,-74.7,15.2,-75.7,12.5
CHFJPY,USDJPY,28,72.8,-12.6,69.9
CHFJPY,USDMXN,73.6,-39.9,52.8,61.6
CHFJPY,USDNOK,-84.2,17.1,-61.1,-30.1
CHFJPY,USDPLN,-87.8,-25.4,-16.6,33.1
CHFJPY,USDSEK,-85.4,11.9,-75.5,-28.9
CHFJPY,USDSGD,-53.5,20.9,13.7,65.3
CHFJPY,USDTRY,-42.1,54.9,-45.3,74.1
CHFJPY,USDZAR,10.4,17.3,-52.2,40.5
CHFJPY,AUDCHF,-46.4,31.7,-58.7,-40.2
CHFJPY,AUDHKD,79.7,0.2,-21.3,-47.9
CHFJPY,AUDUSD,79.6,1.9,-15.5,-44.5
CHFJPY,CHFHKD,84.6,-15.5,66.8,2.9
CHFJPY,EURAUD,76,-32.6,60.4,37.7
CHFJPY,EURCHF,73,-23.9,19.7,9.9
CHFJPY,EURCZK,-32.3,62.4,-14.5,-22.7
CHFJPY,EURDKK,-79.6,-20.9,-25.2,-9
CHFJPY,EURHKD,87.5,-20.9,67,6.3
CHFJPY,EURJPY,96,77.6,93.4,92.1
CHFJPY,EURPLN,5.3,-72.5,54.5,67.7
CHFJPY,EURUSD,87.3,-20,68.1,9.3
CHFJPY,GBPPLN,-86,-30.1,-2.7,29.4
CHFJPY,SGDCHF,-63.6,7.4,-78.6,-59.8
CHFJPY,USDCHF,-84.5,14.1,-68.2,-6.4
CHFJPY,USDINR,-36.8,17.5,61,57.8
CHFJPY,ZARJPY,-4.7,-5.8,52.6,-7.5
CHFJPY,USDHKD,71,-27.5,-75.8,-51.2
CHFJPY,USDSAR,-63.1,-34.8,-51.4,43.6
CHFJPY,USDTHB,-86.6,39.1,41.1,73.9
CHFZAR,AUDCAD,47.6,-41.5,6.8,-74
CHFZAR,AUDJPY,34.4,32.7,27,-15.5
CHFZAR,AUDNZD,43.1,28.1,55.4,-70.8
CHFZAR,AUDSGD,18.4,-48.8,-8.6,3
CHFZAR,CADCHF,-42.6,55.2,41.7,33.1
CHFZAR,CADHKD,18.2,-27.2,15.9,50.2
CHFZAR,CADJPY,8.6,57.5,28,46.7
CHFZAR,CADSGD,-14.7,27.5,-17.5,56.9
CHFZAR,CHFJPY,38.5,17.4,-43.4,41.5
CHFZAR,CHFZAR,100,100,100,100
CHFZAR,EURCAD,56.5,-52.8,-43.8,-33.2
CHFZAR,EURGBP,43,-65.7,-45,-31.1
CHFZAR,EURHUF,49.1,-55.4,-25.8,18.3
CHFZAR,EURNOK,45.5,16,25.9,-34.3
CHFZAR,EURNZD,55.5,-30.9,-28,-46.1
CHFZAR,EURSEK,27.1,-30.2,73.6,-39.9
CHFZAR,EURSGD,54.8,-61.2,-65.8,51.7
CHFZAR,EURTRY,47.4,-46.4,5.3,61.4
CHFZAR,EURZAR,98.9,99.7,99.9,98.8
CHFZAR,GBPAUD,-20.1,64.5,-12.2,63.5
CHFZAR,GBPCAD,0.7,69.2,-12.6,-17.7
CHFZAR,GBPCHF,-25.6,68.7,44.8,30.1
CHFZAR,GBPHKD,23.6,44,-5.8,39.9
CHFZAR,GBPJPY,8.1,73.1,20.5,52.6
CHFZAR,GBPNZD,13.6,72.2,34.9,-45.6
CHFZAR,GBPSGD,-16.1,62.1,-27.6,58.6
CHFZAR,GBPUSD,20.7,44.9,-9.8,41.2
CHFZAR,GBPZAR,90.1,98.7,98.6,95.4
CHFZAR,HKDJPY,-14.6,68.5,26.5,14.6
CHFZAR,NZDCAD,-18.2,-55,-54.6,50.3
CHFZAR,NZDCHF,-40.3,2.7,21.3,48.3
CHFZAR,NZDHKD,20,-71.4,-59.8,56.4
CHFZAR,NZDJPY,-9.8,23,-19.3,56.3
CHFZAR,NZDSGD,-31.2,-52.1,-79.9,60.8
CHFZAR,NZDUSD,16.8,-71.1,-62.6,56.3
CHFZAR,SGDHKD,39.8,-84.5,42.9,-46.7
CHFZAR,SGDJPY,24.4,53.7,58.6,-23.9
CHFZAR,TRYJPY,22.2,54.2,-46.5,-67.2
CHFZAR,USDCAD,-17.5,27.3,-8.9,-50.3
CHFZAR,USDCNH,-2,32.4,30,-47.5
CHFZAR,USDCZK,-57.4,58.5,53.9,-11.5
CHFZAR,USDDKK,-57.2,72.7,53.5,-12.7
CHFZAR,USDHUF,-53.5,68.3,45.6,-4.3
CHFZAR,USDJPY,-12.4,68.7,30.1,12.7
CHFZAR,USDMXN,47.3,18.3,-45.2,63.7
CHFZAR,USDNOK,-58.3,69.3,79.6,-48.5
CHFZAR,USDPLN,-54.7,69.4,-27.7,5.6
CHFZAR,USDSEK,-48.8,66.7,67.6,-28.3
CHFZAR,USDSGD,-38.6,83.3,-36,45.9
CHFZAR,USDTRY,-38.2,34.9,65.8,63.5
CHFZAR,USDZAR,93.9,99.8,98.5,94.3
CHFZAR,AUDCHF,-18.8,45.2,42.2,-49.5
CHFZAR,AUDHKD,46.3,-78.9,18.4,-40.6
CHFZAR,AUDUSD,47.1,-78,13,-37.6
CHFZAR,CHFHKD,46,-83.4,-45.9,22.1
CHFZAR,EURAUD,56.1,-47.6,-45.8,35.7
CHFZAR,EURCHF,62.3,-37.8,-29.3,-21.7
CHFZAR,EURCZK,-18.9,21.9,42.9,20.8
CHFZAR,EURDKK,-46.7,-38.2,48.7,27.7
CHFZAR,EURHKD,57.4,-72.3,-49.8,10.3
CHFZAR,EURJPY,51,-8.2,-48.1,28
CHFZAR,EURPLN,13.7,-4.9,-80.6,25.2
CHFZAR,EURUSD,57.8,-71.8,-51.1,13
CHFZAR,GBPPLN,-39.4,63.6,-31.1,37.3
CHFZAR,SGDCHF,-27,74.2,65,-61.3
CHFZAR,USDCHF,-46.3,83.2,47.9,-25.2
CHFZAR,USDINR,-35.2,-49,-83.5,52.1
CHFZAR,ZARJPY,-93.9,-99.3,-99.4,-93.8
CHFZAR,USDHKD,27.8,-5.4,71.4,-45.3
CHFZAR,USDSAR,-48.3,12.6,63.5,64.2
CHFZAR,USDTHB,-42.3,-32.4,-67.4,31.9
EURCAD,AUDCAD,89.9,84.7,16.2,64.7
EURCAD,AUDJPY,60.9,-23.5,-67.3,-52.7
EURCAD,AUDNZD,65.4,-23.9,-72.3,62.1
EURCAD,AUDSGD,4,50.7,-44,-74.2
EURCAD,CADCHF,-92.9,-95.7,-98.4,-98.1
EURCAD,CADHKD,2.5,-45.4,-77.9,-77.8
EURCAD,CADJPY,10.2,-81,-87.9,-82
EURCAD,CADSGD,-51.7,-83.5,-71.7,-85.2
EURCAD,CHFJPY,79.4,0.4,70.9,-13.9
EURCAD,CHFZAR,56.5,-52.8,-43.8,-33.2
EURCAD,EURCAD,100,100,100,100
EURCAD,EURGBP,70.1,93.7,77.4,83.2
EURCAD,EURHUF,75.8,84.9,36.5,43.4
EURCAD,EURNOK,80.7,-26.6,65.6,93.1
EURCAD,EURNZD,89.8,78.5,93.1,91.8
EURCAD,EURSEK,-7.7,1.4,-28,45.9
EURCAD,EURSGD,75.8,93.1,93.6,10.1
EURCAD,EURTRY,73.7,92.3,64.9,19
EURCAD,EURZAR,65.7,-47.3,-42,-22.1
EURCAD,GBPAUD,-30.2,-83.5,37.4,-18.7
EURCAD,GBPCAD,9.3,-62.4,60.9,67.9
EURCAD,GBPCHF,-48.5,-88.4,-78.5,-73.6
EURCAD,GBPHKD,17.9,-76.2,26,-31.3
EURCAD,GBPJPY,23.4,-84.2,-40.2,-65.7
EURCAD,GBPNZD,20.5,-88.5,-12.6,73.3
EURCAD,GBPSGD,-46.3,-84,19.7,-62
EURCAD,GBPUSD,14.7,-76.6,29.9,-34.1
EURCAD,GBPZAR,35.4,-63.8,-54.1,-51.6
EURCAD,HKDJPY,10.7,-56.2,-66.8,-36.2
EURCAD,NZDCAD,-10.6,89.7,90.3,-43.5
EURCAD,NZDCHF,-74.5,-15.7,-86.2,-89
EURCAD,NZDHKD,-0.3,62.1,56.6,-69.9
EURCAD,NZDJPY,3.9,-13.2,-34.8,-79.6
EURCAD,NZDSGD,-74.7,48.8,40.6,-77.8
EURCAD,NZDUSD,-4.7,62.9,59.8,-70.3
EURCAD,SGDHKD,67.8,67.2,14.4,66.1
EURCAD,SGDJPY,67.7,-45,-73.4,10.1
EURCAD,TRYJPY,52.6,-81.6,-8.7,-17.5
EURCAD,USDCAD,-0.5,44.7,74.3,78.3
EURCAD,USDCNH,-29,-13.2,-63.5,43.5
EURCAD,USDCZK,-85,-81.1,-95.5,-57.1
EURCAD,USDDKK,-84.9,-90.5,-96.8,-58
EURCAD,USDHUF,-77.1,-73.7,-90.5,-35.8
EURCAD,USDJPY,13.8,-57.2,-69.8,-33.3
EURCAD,USDMXN,84.3,-4.9,46.6,-68.5
EURCAD,USDNOK,-80,-90,-75.4,68.8
EURCAD,USDPLN,-84.6,-77.8,-52.3,-65.3
EURCAD,USDSEK,-90.4,-93.2,-90.9,-26
EURCAD,USDSGD,-66.5,-68.8,-23.8,-63.9
EURCAD,USDTRY,-54.7,28,-46.4,-4.3
EURCAD,USDZAR,35.3,-57.3,-57.5,-45.2
EURCAD,AUDCHF,-61.1,-56.1,-87.4,-41.9
EURCAD,AUDHKD,56.5,69.9,-44.2,-15.5
EURCAD,AUDUSD,57.3,70.7,-39.1,-20.4
EURCAD,CHFHKD,71.1,81.9,92.6,37.3
EURCAD,EURAUD,95.8,83.7,92.8,59.5
EURCAD,EURCHF,89.2,84.6,43.4,75.7
EURCAD,EURCZK,-18.5,-41.8,-51.5,8.4
EURCAD,EURDKK,-62.3,78,20.1,38.3
EURCAD,EURHKD,85,91,96.9,61.8
EURCAD,EURJPY,89.1,55.3,76.8,17.5
EURCAD,EURPLN,9.8,22.8,49.4,-44.8
EURCAD,EURUSD,85.8,91.3,97,58.1
EURCAD,GBPPLN,-67.2,-84.9,-27.6,-87.9
EURCAD,SGDCHF,-36.2,-84.6,-91.7,22.4
EURCAD,USDCHF,-72.2,-82.9,-93.1,-32.1
EURCAD,USDINR,-72.1,33.9,46.2,-69.9
EURCAD,ZARJPY,-31.4,53.1,48.9,31.9
EURCAD,USDHKD,35.4,-20.5,-73.1,73.3
EURCAD,USDTHB,-73.8,54.5,13.4,-40.5
EURCAD,USDSAR,-71.3,-15.4,-38.6,-60.5
EURGBP,AUDCAD,56.6,78.7,53.3,58.7
EURGBP,AUDJPY,83.6,-20.9,-24.6,-16.7
EURGBP,AUDNZD,89,-17.7,-28.8,60.4
EURGBP,AUDSGD,60.2,56.4,3.5,-55
EURGBP,CADCHF,-54.8,-90.4,-69.8,-78.9
EURGBP,CADHKD,64,-30.2,-61.1,-72.6
EURGBP,CADJPY,64.2,-74.5,-58.3,-55
EURGBP,CADSGD,17.4,-72.4,-48.2,-71.2
EURGBP,CHFJPY,88,3.1,55.7,10.2
EURGBP,CHFZAR,43,-65.7,-45,-31.1
EURGBP,EURCAD,70.1,93.7,77.4,83.2
EURGBP,EURGBP,100,100,100,100
EURGBP,EURHUF,80.8,78.6,48.4,56.5
EURGBP,EURNOK,85.9,-23.1,37.2,74.2
EURGBP,EURNZD,88.3,78.6,71.1,81.7
EURGBP,EURSEK,22.8,-4,-24.3,40
EURGBP,EURSGD,94.1,91.3,76.3,7.9
EURGBP,EURTRY,82.5,88.2,73.1,19.5
EURGBP,EURZAR,51,-61,-41.9,-20.4
EURGBP,GBPAUD,-87.9,-94.6,-25.9,-48.7
EURGBP,GBPCAD,-64.4,-85.8,-3.1,15.8
EURGBP,GBPCHF,-94.6,-98.1,-97.9,-95.7
EURGBP,GBPHKD,-42.3,-88.3,-36.9,-64.8
EURGBP,GBPJPY,-40.6,-92.3,-76.5,-65.2
EURGBP,GBPNZD,-46.6,-96.6,-67.6,43.3
EURGBP,GBPSGD,-85,-95.5,-38.3,-77
EURGBP,GBPUSD,-46.8,-88.6,-33.1,-66.1
EURGBP,GBPZAR,1.1,-76.7,-58.8,-56.9
EURGBP,HKDJPY,-9.4,-57.4,-39.2,-2.9
EURGBP,NZDCAD,-65.6,80.5,71.1,-47.9
EURGBP,NZDCHF,-88.2,-22,-54.7,-78.3
EURGBP,NZDHKD,16.7,61.8,44.4,-68.8
EURGBP,NZDJPY,5.9,-15.5,-9.8,-61.4
EURGBP,NZDSGD,-49.2,45.8,39.1,-69.7
EURGBP,NZDUSD,6.5,63,47.4,-68.7
EURGBP,SGDHKD,54.1,71.8,-0.2,43
EURGBP,SGDJPY,40.9,-44.7,-48.4,37.9
EURGBP,TRYJPY,36.8,-77.5,-21.4,-7.4
EURGBP,USDCAD,-62,28.7,57.6,72.6
EURGBP,USDCNH,-66,-10.7,-30.1,41.6
EURGBP,USDCZK,-92.2,-79.8,-75.8,-39.1
EURGBP,USDDKK,-92.2,-91.1,-75.1,-39.4
EURGBP,USDHUF,-83.6,-79.8,-63,-11
EURGBP,USDJPY,-2.6,-58.7,-42.2,-0.3
EURGBP,USDMXN,72.6,-13.9,53.5,-50.7
EURGBP,USDNOK,-85.1,-89.2,-67.7,60.2
EURGBP,USDPLN,-91.3,-81.4,-37.4,-34.4
EURGBP,USDSEK,-85,-94.8,-71.6,-13.3
EURGBP,USDSGD,-49.3,-74.1,-7.5,-41.2
EURGBP,USDTRY,-50.4,18.3,-14.3,5
EURGBP,USDZAR,13.2,-69.4,-52.9,-35.9
EURGBP,AUDCHF,-35.1,-54.8,-45.6,-25.4
EURGBP,AUDHKD,92.5,76,4.1,-16.8
EURGBP,AUDUSD,92.3,77.1,9.3,-20.5
EURGBP,CHFHKD,90.6,85.9,62.9,15
EURGBP,EURAUD,70.4,79,56.4,44.3
EURGBP,EURCHF,73.1,78.2,67.7,73.3
EURGBP,EURCZK,-50.2,-38.7,-47.2,-5.4
EURGBP,EURDKK,-81.3,74.6,24.2,5.7
EURGBP,EURHKD,92,91.1,74.9,41.5
EURGBP,EURJPY,87.9,53.5,72.7,37.7
EURGBP,EURPLN,8.3,17.6,41.6,-14.3
EURGBP,EURUSD,91.5,91.6,75.2,38.8
EURGBP,GBPPLN,-97.3,-93.1,-55.9,-83.9
EURGBP,SGDCHF,-74.8,-87.9,-66.3,23.4
EURGBP,USDCHF,-90.1,-87.3,-64.1,-11.1
EURGBP,USDINR,-38.7,41.4,43,-51
EURGBP,ZARJPY,-14,66.5,48,38.5
EURGBP,USDHKD,83.2,-28,-63.5,55
EURGBP,USDTHB,-87.3,56.1,33.4,-4.3
EURGBP,USDSAR,-66,-17.8,-53.5,-46.5
EURHUF,AUDCAD,64.4,68,-4,-9.9
EURHUF,AUDJPY,79.5,-38.4,-45.5,-17.1
EURHUF,AUDNZD,78.2,-40.6,-29.2,2.8
EURHUF,AUDSGD,24.7,51.5,-34.9,-60.3
EURHUF,CADCHF,-59.5,-81.2,-34.6,-35.3
EURHUF,CADHKD,40,-20.5,-25.3,-40.1
EURHUF,CADJPY,53.1,-81.6,-51,-2.9
EURHUF,CADSGD,-18.7,-60.8,-40.7,-22.6
EURHUF,CHFJPY,83.1,-19.5,-6.9,46.7
EURHUF,CHFZAR,49.1,-55.4,-25.8,18.3
EURHUF,EURCAD,75.8,84.9,36.5,43.4
EURHUF,EURGBP,80.8,78.6,48.4,56.5
EURHUF,EURHUF,100,100,100,100
EURHUF,EURNOK,68.9,-33.9,22.5,40.2
EURHUF,EURNZD,84.9,52.4,38,39.8
EURHUF,EURSEK,5.6,45.2,18.3,21.2
EURHUF,EURSGD,73.6,86,27.1,32
EURHUF,EURTRY,81,83.4,31.4,63.8
EURHUF,EURZAR,57.8,-51,-24.8,27.9
EURHUF,GBPAUD,-59,-67.5,-0.5,12.4
EURHUF,GBPCAD,-31.5,-51,-3,2.7
EURHUF,GBPCHF,-66,-73.7,-49.7,-46.4
EURHUF,GBPHKD,-10.6,-53.4,-17.4,-40.2
EURHUF,GBPJPY,-0.5,-78.6,-67.4,-1.7
EURHUF,GBPNZD,-12.4,-79.8,-28.9,14.6
EURHUF,GBPSGD,-73.2,-64.8,-32.9,-25.7
EURHUF,GBPUSD,-14.6,-54.4,-16.5,-40.1
EURHUF,GBPZAR,20,-62.6,-32.5,1
EURHUF,HKDJPY,9.2,-68.7,-50.1,37.6
EURHUF,NZDCAD,-46.1,86.3,28.3,-18.2
EURHUF,NZDCHF,-72.8,3.7,-32.7,-33.3
EURHUF,NZDHKD,15.1,73.9,17.7,-33.8
EURHUF,NZDJPY,18.8,-19.6,-48.4,-9.8
EURHUF,NZDSGD,-68.6,65,-3.2,-23.1
EURHUF,NZDUSD,7.9,73.5,17.9,-33.4
EURHUF,SGDHKD,70.7,67.4,29.4,-13.5
EURHUF,SGDJPY,69.2,-61,-43.7,43.1
EURHUF,TRYJPY,39.7,-88.1,-33,-51.3
EURHUF,USDCAD,-38.5,21.3,25.3,39.8
EURHUF,USDCNH,-45.7,-16.5,-15.4,22.2
EURHUF,USDCZK,-85,-74.2,-37.1,-18.4
EURHUF,USDDKK,-86.3,-84.4,-35.1,-18.2
EURHUF,USDHUF,-59.6,-49.9,-1.8,29.3
EURHUF,USDJPY,14.3,-68.9,-49.9,39
EURHUF,USDMXN,75.1,-8.4,-18.8,5.9
EURHUF,USDNOK,-85.2,-86.7,-29.5,34.9
EURHUF,USDPLN,-81.6,-69.9,-39.9,7
EURHUF,USDSEK,-84.6,-76.9,-24.3,-5
EURHUF,USDSGD,-68,-66.2,-32.2,15.5
EURHUF,USDTRY,-38.9,19.6,-10,64.2
EURHUF,USDZAR,25.7,-59.5,-29.4,21
EURHUF,AUDCHF,-30.2,-55.1,-34.3,-55.5
EURHUF,AUDHKD,76.1,70.5,-22.8,-75.1
EURHUF,AUDUSD,76.5,69.6,-22.2,-76.3
EURHUF,CHFHKD,75.2,81.8,33.2,-4.8
EURHUF,EURAUD,75.2,75,37.6,65.8
EURHUF,EURCHF,81.3,72.3,24.8,58.9
EURHUF,EURCZK,-30.8,-35.9,-26.1,-5.5
EURHUF,EURDKK,-80.5,74.1,36.9,10.5
EURHUF,EURHKD,84.8,85.8,36.7,18.7
EURHUF,EURJPY,88.3,28.6,3,64.2
EURHUF,EURPLN,20.8,25.8,-1.7,32.8
EURHUF,EURUSD,84.8,85.2,36.1,18
EURHUF,GBPPLN,-75.4,-68.7,-46.8,-24.9
EURHUF,SGDCHF,-39.3,-84.3,-23.6,-7.1
EURHUF,USDCHF,-75.4,-81.5,-32.9,6
EURHUF,USDINR,-41.6,27.4,-3.3,10.2
EURHUF,ZARJPY,-22.1,53.8,23.2,-2.3
EURHUF,USDHKD,58.7,6.3,-13.4,15.8
EURHUF,USDTHB,-74.5,58.5,-11.6,45.8
EURHUF,USDSAR,-71.3,-15.4,-9.3,-7.3
EURNOK,AUDCAD,68.2,-38,-1,65.8
EURNOK,AUDJPY,67.7,-8.7,-60.1,-46.8
EURNOK,AUDNZD,70.7,24,-36.6,71.1
